Title,Link,Type,Keywords
ECML PKDD 2024,https://2024.ecmlpkdd.org/,AI-ML,"ecml pkdd, machine learning, data mining, knowledge discovery in databases, academic conference, tutorials, workshops, call for proposals"
AABI 2024,http://approximateinference.org/,AI-ML,"bankruptcy, insolvency, conferences, symposiums, abi, distressed real estate, american dairy, latin america, adpi"
CoRL 2024,https://corl.org,AI-ML,"corl, robot learning, academic conference, call for papers, call for workshops, submissions, openreview, robotics, deadlines"
MM 2024,https://2024.acmmm.org/,AI-ML,"oncologic drugs, fda advisory committees, economic indicators, pharmacy professionals, clinical meetings, drug regulation, business cycle indicators, expert advice"
ACL 2024,https://2024.aclweb.org/,AI-ML,"computational linguistics, natural language processing (nlp), acl 2024, technical program, research, life insurance, financial services, business issues, political issues, acli"
IROS 2024,https://iros2024-abudhabi.org/,AI-ML,"iros 2024, intelligent robots, robotics, systems, conference, ieee, rsj, workshops, tutorials, women in robotics"
KR 2024,https://kr.org/KR2024/,AI-ML,"principles of knowledge representation and reasoning, kr 2024 conference, natural resource commission, department of natural resources, call for videos, video track"
AAAI 2024 Spring Symposium on Clinical Foundation Models 2024,https://clinicalfoundationmodels.github.io/,AI-ML,"clinical foundation models, artificial intelligence, data collection, pre-training, evaluation, clinical domain"
AAAI 2024 Spring Symposium on User-Aligned Assessment of Adaptive AI Systems 2024,https://aair-lab.github.io/aia2024/,AI-ML,"adaptive ai systems, user-aligned assessment, human-like learning, artificial intelligence, ai for engineering, ai for scientific discoveries, ai for health, aaai symposia"
SIGGRAPH 2024,https://s2024.siggraph.org/,AI-ML,"computer graphics, interactive techniques, siggraph 2024, conference, exhibition, programs, early career development, resume & reel reviews, hybrid event, interest areas"
UAI 2024,https://www.auai.org/uai2024/,AI-ML,"artificial intelligence, uai conference, aaai conference, paper submission, conference deadlines, code of conduct, keynote talks, tutorials, workshops, academic conferences"
CoLLAs 2024,https://lifelong-ml.cc,AI-ML,"lifelong learning agents, machine learning research, collas, pmlr, lifelong learning, academic conferences, parsimony and learning, algorithmic learning theory"
ECAI 2024,https://www.ecai2024.eu/,AI-ML,"artificial intelligence, ecai 2024, ai research, technical papers, european conference, call for papers, latex template, ios press ebooks, industry"
RLC 2024,https://rl-conference.cc/,AI-ML,"retail law conference, retail law, employment law, privacy law, litigation, retail industry, workshops, retail litigation center"
KDD 2024,https://kdd2024.kdd.org/,AI-ML,"kdd 2024, data mining, knowledge discovery, data science, acm sigkdd, call for papers, research track, conference proceedings, paper deadlines"
RSS 2024,https://roboticsconference.org/2024,AI-ML,"robotics, statistics, data science, rss conference, science and systems, call for papers, peer review, demos, academic conferences, academic research"
ICML 2024,https://icml.cc/Conferences/2024,AI-ML,"icml, machine learning, artificial intelligence, reinforcement learning, control, conference, scientific programme, foundations of reinforcement learning and control, impartiality, workshops"
MICCAI 2024,https://conferences.miccai.org/2024/en/,AI-ML,"miccai, medical image computing, computer assisted intervention, medical imaging, healthcare technology, artificial intelligence, deep learning, surgical robotics, image analysis, scientific conference"
SIGIR 2024,https://sigir-2024.github.io,AI-ML,"information retrieval, sigir 2024, workshop proposals, peer review, sigir-ap, research and development, conference topics, proposal quality"
COLM 2024,https://colmweb.org/,AI-ML,"language modeling, colm, conference, call for papers, research, openreview, general-purpose capabilities"
IJCAI 2024,https://ijcai24.org/,AI-ML,"artificial intelligence, ijcai 2024, international conference, ai research, accepted papers, multidisciplinary topics and applications"
CHIL 2024,https://www.chilconference.org/index.html,AI-ML,"native child advocacy, child abuse, child protection, crimes against children, child neurology, conferences, justice for children, national leadership (child issues)"
SaTML 2024,https://satml.org/,AI-ML,"ieee satml, secure machine learning, trustworthy machine learning, machine learning, conference, research, call for papers, paper submission, security, trustworthiness"
ECCV 2024,https://eccv2024.ecva.net/,AI-ML,"eccv, computer vision, eccv 2024, conference papers, proceedings, ecva, academic conference, research"
CLeaR 2024,https://www.cclear.cc/2024,AI-ML,"causal representation learning, causal inference, iclr conference, causality applications, smart video conferencing technology, hybrid work technology, 360-degree video conferencing, remote meetings, philosophy, psychology"
ICPRAI 2024,http://icprai2024.org/,AI-ML,"artificial intelligence, machine learning, pattern recognition, chatgpt, autogpt, dall-e, ai conferences, iclr, icprai, cutting-edge ai"
ICAPS 2024,https://icaps24.icaps-conference.org/,AI-ML,"icaps 2024, automated planning, icap 2024, atomic physics, haxp, planrob, human-aware planning, conference submissions, workshops, robotics"
NAACL 2024,https://2024.naacl.org,AI-ML,"naacl, acl rolling review, human language technology, computational linguistics, paper submission, conference deadlines, call for papers, computational social science"
CSCW 2024,https://cscw.acm.org/2024/,AI-ML,"cscw, computer-supported cooperative work, social computing, artificial intelligence (ai), hci (human-computer interaction), feminist ai, decolonial ai, ai innovations"
IUI 2024,https://iui.acm.org/2024/,AI-ML,"intelligent user interfaces (iui), acm conference, human-computer interaction (hci), artificial intelligence (ai), user interface (ui), academic research, industry collaboration, state-of-the-art"
AISTATS 2024,https://www.aistats.org/aistats2024/,AI-ML,"aistats, artificial intelligence, statistics, machine learning, academic conference, call for papers, research papers, conference proceedings"
ICASSP 2024,https://2024.ieeeicassp.org/,AI-ML,"icassp, signal processing, acoustics, speech processing, ieee, technical conference, applications of signal processing, conference proceedings"
HRI 2024,https://humanrobotinteraction.org/2024/,AI-ML,"human-robot interaction, hri 2024, robotics, call for papers, workshops, tutorials, ieee, acm"
WACV 2024,https://wacv2024.thecvf.com,AI-ML,"wacv, computer vision, applications of computer vision, ieee/cvf, academic conference, workshops, tutorials, call for papers"
EACL 2024,https://2024.eacl.org/,AI-ML,"eacl 2024, computational linguistics, natural language processing, call for papers, student research workshop, system demonstrations, mentorship program"
3DV 2024,https://3dvconf.github.io/2024/,AI-ML,"3d vision, computer vision, 3d printing, additive manufacturing, research, innovation, industry applications, manufacturing"
ICLR 2024,https://iclr.cc/Conferences/2024,AI-ML,"iclr, learning representations, neural program synthesizers, clip, ai research conference, machine learning, mentoring, academic awards"
CVPR 2024,https://cvpr.thecvf.com/Conferences/2024,AI-ML,"cvpr, computer vision, pattern recognition, workshops, tutorials, keynotes, transformers for vision, vizwiz workshop, ieee, cvf"
ICRA 2024,http://2024.ieee-icra.org/,AI-ML,"robotics, automation, icra, ieee, conference, paper submission, connect+, robotics and automation society"
CoNLL 2023,https://conll.org/,AI-ML,"conll, natural language learning, signll, acl, theoretical nlp, cognitive nlp, nlp, ai conferences, machine learning, artificial intelligence"
AAMAS 2024,https://www.aamas2024-conference.auckland.ac.nz/,AI-ML,"autonomous agents, multi-agent systems, aamas, search, optimization, planning, ai research, research challenges, call for papers, workshops"
AAAI 2024,https://aaai.org/aaai-conference/,AI-ML,"artificial intelligence, aaai conference, paper submission, conference deadlines, academic conference, ai research, call for papers, conference schedule"
ECIR 2024,https://www.ecir2024.org/,AI-ML,"information retrieval, ecir 2024, workshops, scolia, bir, bibliometrics"
CHI 2024,https://chi2024.acm.org/,AI-ML,"chi, human factors in computing systems, human-computer interaction, acm, conference, community health, nachc, panels"
LREC-COLING 2024,https://lrec-coling-2024.org,AI-ML,"lrec-coling 2024, computational linguistics, language resources, evaluation, international conference, workshops"
IJCNLP-AACL 2023,http://www.ijcnlp-aacl2023.org/,AI-ML,"ijcnlp-aacl 2023, natural language processing, chatgpt, named entity recognition, topic extraction, machine translation, masked language modeling, systems demonstrations"
RecSys 2023,https://recsys.acm.org/recsys23/,AI-ML,"recommender systems, academic conference, technical track, research papers, tutorials, workshops, state-of-the-art topics, call for contributions, conference proceedings, personalization"
ACML 2023,https://www.acml-conf.org/2023,AI-ML,"acml, machine learning architectures, attention mechanism, transformers, deep learning theory, deep reinforcement learning, generative models, supervised learning, machine learning, conference proceedings"
SIGIR-AP 2023,http://www.sigir-ap.org/sigir-ap-2023/,AI-ML,"information retrieval, sigir-ap, acm sigir, research and development, tutorials, asia pacific, practical uses"
EMNLP 2023,https://2023.emnlp.org/,AI-ML,"emnlp, natural language processing, empirical methods, academic conference, call for papers, hybrid conference, technical program, research"
*SEM 2023,https://sites.google.com/view/starsem2023,AI-ML,"sem (society for ethnomusicology), ethnomusicology, conferences, higher education, student research, music, innovation, future of sem, annual meetings"
SIGGRAPH Asia 2023,https://asia.siggraph.org/2023/,AI-ML,"siggraph asia 2023, nerf, technical papers, the khronos group, computer graphics, student volunteer program"
CoRL 2023,https://corl2023.org,AI-ML,"corl, robot learning, machine learning, robotics, research impact, academic conference"
ECAI 2023,https://ecai2023.eu/,AI-ML,"artificial intelligence, machine learning, ecai conference, applied electronics, call for papers, peer review, multidisciplinary applications, applied mathematics in engineering, expert systems"
MM 2023,https://www.acmmm2023.org/,AI-ML,"mm-nlg, discourse and dialogue, us leading indicators (lei), business cycle indicators, physics, natural language processing, economics, research, conferences, economic forecasting"
RO-MAN 2023,http://ro-man2023.org/main,AI-ML,"ancient greek and roman philosophy, aristotle, aristotelianisms, logic, metaphysics, robotics, human interactive communication, roman science, jwst, academic conferences"
NeurIPS 2023,https://neurips.cc/Conferences/2023/,AI-ML,"neurips, neural information processing systems, machine learning, artificial intelligence, research papers, datasets, abstracts, ai conference, invited talks, competitions"
AutoML-Conf 2023,https://2023.automl.cc,AI-ML,"automl, automated machine learning, machine learning, automl conference, automation, poster sessions, research"
CoLLAs 2023,https://lifelong-ml.cc,AI-ML,"lifelong learning agents, reinforcement learning, supervised learning, unsupervised learning, machine learning, collaborative systems, model-driven gui generation, computer-driven design interaction, collas"
UAI 2023,https://www.auai.org/uai2023/,AI-ML,"machine learning research, uncertainty in ai (uai), causal inference, health applications, missing data, ai conferences, inference, conference proceedings"
RSS 2023,https://roboticsconference.org/2023,AI-ML,"robotics, rural sociology, academic conferences, robotics: science and systems, rural sociological society, scholarly communities, research"
IJCAI 2023,https://ijcai-23.org/,AI-ML,"artificial intelligence, ijcai 2023, call for papers, ethics, survey track, academic conference, research papers, travel restrictions, visa/passport issues, submission eligibility"
ICML 2023,https://icml.cc/Conferences/2023,AI-ML,"icml, machine learning, artificial intelligence, academic conference, call for papers, double-blind review, scientific programme, research papers"
SIGIR 2023,https://sigir.org/sigir2023/,AI-ML,"sigir, information retrieval, review process, program design, workshops, conference organization, academic research, peer review, call for proposals, emergent issues"
IROS 2023,https://ieee-iros.org/,AI-ML,"iros, intelligent robots, systems, robotics, automation, ieee, rsj, workshops/tutorials"
KR 2023,https://kr.org/KR2023/,AI-ML,"natural resource management, department of natural resources (dnr), monetary policy, bank of korea, food science and technology, korean society of food science and technology (kosfost), scientific symposium, public meetings, policy-setting meetings"
ICAPS 2023,https://icaps23.icaps-conference.org/,AI-ML,"icaps 2023, automated planning and scheduling, plato, rddps, workshops, conference organization, topics of interest, icaps council meeting"
ACL 2023,https://2023.aclweb.org/,AI-ML,"acl, computational linguistics, natural language processing, topic segmentation, llm data augmentation, large language models, long-form meeting, automin 2023"
EACL 2023,https://2023.eacl.org/,AI-ML,"eacl 2023, acl 2023, computational linguistics, natural language processing (nlp), call for papers, system demonstrations, academic conferences, technical program"
PAKDD 2023,https://pakdd2023.org,AI-ML,"data mining, knowledge discovery, pakdd 2023, pacific-asia conference, workshops, call for workshops"
AISTATS 2023,https://www.aistats.org/aistats2023/,AI-ML,"aistats, neurips, artificial intelligence, statistics, neural information processing systems, automated data analysis, knowledge representation for statistics, meta data, research conferences, call for papers"
ICLR 2023,https://iclr.cc/Conferences/2023,AI-ML,"iclr, neurips, learning representations, neural information processing systems, machine learning, deep learning, artificial intelligence"
ACML 2022,https://www.acml-conf.org/2022,AI-ML,"machine learning, acml, conference, active learning, dimensionality reduction, feature selection, graphical models, paper submissions, acceptance rate, workshop"
AAAI 2023,https://aaai.org/Conferences/AAAI-23/,AI-ML,"aaai 2023 conference, artificial intelligence, ai research, technical program, financial problems, bridge program, panel discussions, invited presentations"
ICDM 2022,https://icdm22.cse.usf.edu/,AI-ML,"data mining, icdm, ieee, research, technical quality, open project forum"
EMNLP 2022,https://2022.emnlp.org/,AI-ML,"emnlp, natural language processing, empirical methods, system demonstrations, model analysis, model interpretation, conference proceedings, hybrid conference"
WSDM 2023,https://www.wsdm-conference.org/2023/,AI-ML,"wsdm'23, web search, data mining, acm, algorithms, workshop proposals, call for papers, acm digital library"
MM 2022,https://2022.acmmm.org/,AI-ML,"eli annual conference, leading economic index (lei), water quality monitoring, conference board, composite indexes, regional monitoring program (rmp), us economic indicators, environmental monitoring"
ICMI 2022,https://icmi.acm.org/2022/,AI-ML,"machine learning, ai, contact center, motivational interviewing, automation, hybrid workforce, innovation, conferences, icml, icmi"
CIKM 2022,https://www.cikm2022.org/,AI-ML,"information and knowledge management, cikm, icml, academic conferences, research challenges, workshops program, peer review, topics of interest"
COLING 2022,https://coling2022.org/,AI-ML,"computational linguistics, coling 2022, noisy user-generated text, w-nut 2022, natural language processing, academic conference, workshops, tutorials, research topics"
NeurIPS 2022,https://neurips.cc/Conferences/2022/,AI-ML,"neurips, neural information processing systems, machine learning, lifelong learning, bayesian methods, artificial intelligence, academic conference"
ISMIR 2022,https://ismir2022.ismir.net/,AI-ML,"ismir, music information retrieval (mir), conference, research, mentoring program, music, human-music interaction"
AACL-IJCNLP 2022,https://www.aacl2022.org/,AI-ML,"aacl-ijcnlp 2022, computational linguistics, natural language processing, asia-pacific chapter, conference, submission topics, technical program"
CoRL 2022,https://corl2022.org,AI-ML,"robot learning, corl, neurips, neural information processing systems, machine learning, robotics, academic conferences, intersection of robotics and machine learning"
ALT 2020,http://alt2020.algorithmiclearningtheory.org/,AI-ML,"general service conference, learning technology, association for learning technology (alt), online meetings, consumer confidence, conference board, surveys, conference agenda items, delegate's report"
HRI 2020,https://humanrobotinteraction.org/2020/,AI-ML,"human-robot interaction, harm reduction, robotics, acm/ieee, international conferences, drugs, health, academic research"
ICMR 2020,http://icmr2020.org/,AI-ML,"machine learning, learning representations, multimedia retrieval, artificial intelligence, academic conferences, multimedia"
COLT 2020,http://www.learningtheory.org/colt2020/,AI-ML,"colt 2020, learning theory, machine learning, academic conferences, call for papers, paper submissions, conference proceedings, proceedings of machine learning research"
ICCC 2020,http://computationalcreativity.net/iccc20/,AI-ML,"iccc, common criteria, cybersecurity certification, cybersecurity policy, sustainability, cold chain, iclr, learning representations, cybersecurity"
ISMIR 2020,https://ismir.github.io/ISMIR2020/,AI-ML,"music information retrieval (mir), ismir conference, research forum, call for papers, conference proceedings, music, ismir society, topics of interest (music ir)"
AACL-IJCNLP 2020,http://aacl2020.org,AI-ML,"aacl-ijcnlp, computational linguistics, acl, academic conferences, technical program, paper submissions, conference planning, asia-pacific"
ACCV 2020,http://accv2020.kyoto/,AI-ML,"advisory commission on childhood vaccines (accv), childhood vaccines, meeting agenda, public comment, aacvpr, accv meeting, ex officio members, future agenda items"
ICPR 2020,https://www.micc.unifi.it/icpr2020/,AI-ML,"pattern recognition, production research, icpr-americas 2020, icpr2020, international conferences, collaborative work, experience exchange"
CoNLL 2020,http://www.conll.org/2020,AI-ML,"conll, computational natural language learning, theoretical issues, discourse structure, reference, syntax, neural networks, recurrent neural networks, cognitive science"
3DV 2020,http://3dv2020.dgcv.nii.ac.jp/index.html,AI-ML,"3d vision, computer vision, graphics, research, food and drug law, conferences, virtual events, 3dv, fdli"
WMT 2020,http://www.statmt.org/wmt20/,AI-ML,"machine translation (mt), wmt20, similar language translation (slt), shared tasks, walmart (wmt), shareholders' meeting, corporate governance"
EACL 2021,https://2021.eacl.org/,AI-ML,"eacl 2021, computational linguistics, virtual conference, diversity and inclusion, demonstrations, tutorials, workshops, proceedings, accepted papers"
AAMAS 2023,https://aamas2023.soton.ac.uk/,AI-ML,"aamas 2023, autonomous agents, multiagent systems, tutorials, workshops, ifaamas, emerging topics, applications, open research questions, technical conference"
SDM 2021,https://www.siam.org/conferences/cm/conference/sdm21,AI-ML,"conferences, sports safety, security, applied mathematics, computational mathematics, stewardship, meetings, agendas"
AISTATS 2021,https://www.aistats.org/aistats2021/,AI-ML,"artificial intelligence, statistics, neural information processing systems, aistats, neurips, machine learning, academic conferences"
ICME 2021,https://2021.ieeeicme.org/,AI-ML,"multimedia, data science, mathematics education, computational science, academic conferences, workshops, diversity equity & inclusion, emerging topics"
ICIP 2023,https://2023.ieeeicip.org/,AI-ML,"image processing, icip 2023, ieee, tutorials, short courses, call for proposals, editorial policies, edics topic, technical program committee, editorial triage"
MIDL 2021,https://2021.midl.io/,AI-ML,"medical imaging, deep learning, midl, machine learning research, conference, proceedings, challenges"
UAI 2021,http://auai.org/uai2021/,AI-ML,"uncertainty in artificial intelligence, uai 2021, machine learning, causal analysis, artificial intelligence, conference proceedings, academic workshops, accepted papers, research submissions, scholarly publishing"
IROS 2021,https://www.iros2021.org/important-dates,AI-ML,"iros, robotics, intelligent robots, systems, automation, ieee, robotics research, conference"
RSS 2021,https://roboticsconference.org/2021,AI-ML,"flood risk, local government, professional conferences, statistics, public meetings, virtual conferences, meeting agendas"
MICCAI 2023,https://conferences.miccai.org/2023/en/,AI-ML,"miccai, medical image computing, computer assisted intervention, medical imaging, healthcare, image analysis, medical intervention, international conference"
ICCV 2023,http://iccv2023.thecvf.com/,AI-ML,"computer vision, iccv, academic conferences, call for papers, workshops, tutorials, novel research topics, diversity and inclusion"
ECML-PKDD 2021,https://2021.ecmlpkdd.org/,AI-ML,"ecml pkdd, machine learning, knowledge discovery in databases, software engineering, conference, workshops, data, awards, mlise, research"
InterSpeech 2023,http://www.interspeech2023.org/,AI-ML,"interspeech 2023, speech science, speech technology, call for papers, gender in speech, isca, conference"
FG 2021,http://iab-rubric.org/fg2021/,AI-ML,"automatic face recognition, gesture recognition, ieee, fg 2021, peer review, doctoral consortium, virtual event, federal communications commission, open meeting, computer vision"
RecSys 2022,https://recsys.acm.org/recsys22/,AI-ML,"recommender systems, recsys conference, technical track, tutorials, workshops, keynote talks, call for contributions, papers, proceedings, state-of-the-art topics"
EMNLP 2021,https://2021.emnlp.org/,AI-ML,"emnlp, natural language processing, empirical methods, model analysis, interpretation, system demonstrations, call for papers"
CIKM 2021,https://cikm2021.org/,AI-ML,"information and knowledge management, big data, artificial intelligence, machine learning, academic conferences, peer review, workshops"
NeurIPS 2021,https://neurips.cc/Conferences/2021/,AI-ML,"neurips, neural information processing systems, machine learning, conference, tutorials, workshops, call for papers"
WACV 2023,http://wacv2023.thecvf.com/,AI-ML,"wacv, computer vision, applications of computer vision, workshop proposals, tutorial proposals, ieee, cvf, conference, call for proposals"
ICDM 2021,https://icdm2021.auckland.ac.nz,AI-ML,"data mining, ieee icdm 2021, topic-noise models, social, foundations, dynamical meteorology, international commission on dynamical meteorology, conference, covid-19"
CoRL 2021,http://www.robot-learning.org,AI-ML,"zoning code rewrite, robot learning, corl, municipal governance, meeting agendas, fwc, robotics, membership programs"
AKBC 2021,https://www.akbc.ws/2021/,AI-ML,"automated knowledge base construction, akbc conference, argumentation knowledge graphs, commonsense knowledge, few-shot knowledge, argumentation"
BMVC 2023,https://www.bmvc2023.org,AI-ML,"bmvc, machine vision, computer vision, academic conference, call for papers, research, topics of interest, author guidelines"
